LGA19_source,LGA19_target,date,time,region,n_trips
10470,10470,3/1/21,1600,NSW,2431.239076
10470,11400,1/1/21,800,NSW,0.011783024
10470,14870,1/1/21,0,NSW,4.334934091
10470,14870,1/1/21,800,NSW,4.628636424
10470,14870,1/1/21,1600,NSW,5.457795614
10470,14870,2/1/21,0,NSW,5.388531871
10470,14870,2/1/21,800,NSW,3.955320656
10470,14870,2/1/21,1600,NSW,3.989952528
10470,14870,3/1/21,0,NSW,3.160793338
10470,14870,3/1/21,800,NSW,3.212741146
10470,14870,3/1/21,1600,NSW,5.906672793
10470,15270,1/1/21,0,NSW,1.868389477
10470,15270,1/1/21,800,NSW,2.299556279
10470,15270,1/1/21,1600,NSW,3.161889884
10470,15270,2/1/21,0,NSW,2.587000814
10470,15270,2/1/21,800,NSW,2.730723081
10470,15270,2/1/21,1600,NSW,3.018167616
10470,15270,3/1/21,0,NSW,2.155834012
10470,15270,3/1/21,800,NSW,2.587000814
10470,15270,3/1/21,1600,NSW,2.874445349
10470,16100,1/1/21,0,NSW,2.806016656
10470,16100,1/1/21,800,NSW,2.865567245
10470,16100,1/1/21,1600,NSW,2.455197645
10470,16100,2/1/21,0,NSW,2.104378633
10470,16100,2/1/21,800,NSW,2.286540377
10470,16100,2/1/21,1600,NSW,2.172436449
10470,16100,3/1/21,0,NSW,2.446690418
10470,16100,3/1/21,800,NSW,2.27803315
10470,16100,3/1/21,1600,NSW,2.124903065
10470,16150,1/1/21,800,NSW,9.988216976
10500,10500,1/1/21,0,NSW,2460.151904
10500,10500,1/1/21,800,NSW,2724.790919
10500,10500,1/1/21,1600,NSW,2488.1482
10500,10500,2/1/21,0,NSW,2374.6728
10500,10500,2/1/21,800,NSW,2620.495447
10500,10500,2/1/21,1600,NSW,2514.859807
10500,10500,3/1/21,0,NSW,2461.285657
10500,10500,3/1/21,800,NSW,2768.848722
10500,10500,3/1/21,1600,NSW,2458.261647
10500,10750,1/1/21,0,NSW,24.1193943
10500,10750,1/1/21,800,NSW,32.75151124
10500,10750,1/1/21,1600,NSW,7.580110102
10500,10750,2/1/21,0,NSW,17.51881691
10500,10750,2/1/21,800,NSW,37.71437104
10500,10750,2/1/21,1600,NSW,8.239388636
10500,10750,3/1/21,0,NSW,12.36089357
10500,10750,3/1/21,800,NSW,17.36463963
10500,10750,3/1/21,1600,NSW,18.06955609
10500,11300,1/1/21,0,NSW,192.7408047
10500,11300,1/1/21,800,NSW,217.420702
10500,11300,1/1/21,1600,NSW,197.2174457
10500,11300,2/1/21,0,NSW,186.8887501
10500,11300,2/1/21,800,NSW,214.1935655
10500,11300,2/1/21,1600,NSW,199.0616618
10500,11300,3/1/21,0,NSW,193.6423953
10500,11300,3/1/21,800,NSW,220.8844337
10500,11300,3/1/21,1600,NSW,196.618547
10500,11450,1/1/21,0,NSW,7.08444438
10500,11450,1/1/21,800,NSW,10.00775512
10500,11450,1/1/21,1600,NSW,4.779858723
10500,11450,2/1/21,0,NSW,7.838255067
10500,11450,2/1/21,800,NSW,8.719896858
10500,11450,2/1/21,1600,NSW,0.937214667
10500,11450,3/1/21,0,NSW,5.113338047
10500,11450,3/1/21,800,NSW,7.148689781
10500,11450,3/1/21,1600,NSW,5.222498757
10500,11500,1/1/21,0,NSW,21.14302726
10500,11500,1/1/21,800,NSW,30.60792019
10500,11500,1/1/21,1600,NSW,12.07704886
10500,11500,2/1/21,0,NSW,18.01076499
10500,11500,2/1/21,800,NSW,29.87486058
10500,11500,2/1/21,1600,NSW,9.86936331
10500,11500,3/1/21,0,NSW,15.89135771
